Name,Assembly,Annotation,Reads,popppunk_cluster,ST,Pathotype,Country,Continent,Isolation,Publication
esc_ja1034aa_as,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/enterobase/human/complete/esc_ja1034aa_as.fasta,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/enterobase/human/annotation/esc_ja1034aa_as.fasta.gff,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/reads/artificial_reads/esc_ja1034aa_as_1.fastq;/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/reads/artificial_reads/esc_ja1034aa_as_2.fastq,6,113,nd,germany,Europe,feces,fda center for food safety and applied nutrition
40311_c01,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/nctc/complete/40311_C01_contigs_pacbio.fa,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/nctc/annotation/40311_C01_contigs_pacbio.fa.gff,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/nctc/reads/40311_C01.fastq.gz,6,396,nd,united kingdom,Europe,nd,nctc
esc_la4408aa_as,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/enterobase/human/complete/esc_la4408aa_as.fasta,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/enterobase/human/annotation/esc_la4408aa_as.fasta.gff,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/reads/artificial_reads/esc_la4408aa_as_2.fastq;/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/reads/artificial_reads/esc_la4408aa_as_1.fastq,6,5429,nd,united states,North America,human,centers for disease control and prevention enteric diseases laboratory branch
esc_ca5117aa_as,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/enterobase/human/complete/esc_ca5117aa_as.fasta,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/enterobase/human/annotation/esc_ca5117aa_as.fasta.gff,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/reads/artificial_reads/esc_ca5117aa_as_2.fastq;/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/reads/artificial_reads/esc_ca5117aa_as_1.fastq,6,5555,nd,united states,North America,human,edlb-cdc
esc_ka5992aa_as,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/enterobase/human/complete/esc_ka5992aa_as.fasta,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/enterobase/human/annotation/esc_ka5992aa_as.fasta.gff,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/reads/artificial_reads/esc_ka5992aa_as_2.fastq;/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/reads/artificial_reads/esc_ka5992aa_as_1.fastq,6,6277,stec,united kingdom,Europe,feces,public health england
esc_ha0902aa_as,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/downloaded/ecoli_mobilome_7_long/assembly/SRR3574224_trimmed.contigs_velvet.fa,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/downloaded/ecoli_mobilome_7_long/annot/SRR3574224_trimmed.velvet.gff,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/downloaded/ecoli_mobilome_7_long/reads/SRR3574224_trimmed_1.fastq.gz;/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/downloaded/ecoli_mobilome_7_long/reads/SRR3574224_trimmed_2.fastq.gz,6,6366,nd,united kingdom,Europe,human,public health england
esc_sa2314aa_as,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/downloaded/ecoli_mobilome_7_long/assembly/SRR7187799_trimmed.contigs_velvet.fa,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/downloaded/ecoli_mobilome_7_long/annot/SRR7187799_trimmed.velvet.gff,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/downloaded/ecoli_mobilome_7_long/reads/SRR7187799_trimmed_2.fastq.gz;/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/downloaded/ecoli_mobilome_7_long/reads/SRR7187799_trimmed_1.fastq.gz,6,8275,nd,united kingdom,Europe,human,public health england
esc_fa7675aa_as,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/enterobase/human/complete/esc_fa7675aa_as.fasta,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/enterobase/human/annotation/esc_fa7675aa_as.fasta.gff,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/reads/artificial_reads/esc_fa7675aa_as_1.fastq;/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/reads/artificial_reads/esc_fa7675aa_as_2.fastq,6,21,nd,united states,North America,feces,centers for disease control and prevention enteric diseases laboratory branch
esc_fa8285aa_as,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/enterobase/human/complete/esc_fa8285aa_as.fasta,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/enterobase/human/annotation/esc_fa8285aa_as.fasta.gff,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/reads/artificial_reads/esc_fa8285aa_as_1.fastq;/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/reads/artificial_reads/esc_fa8285aa_as_2.fastq,6,723,nd,united states,North America,feces,fda center for food safety and applied nutrition
esc_ha6428aa_as,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/enterobase/human/complete/esc_ha6428aa_as.fasta,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/enterobase/human/annotation/esc_ha6428aa_as.fasta.gff,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/reads/artificial_reads/esc_ha6428aa_as_1.fastq;/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/reads/artificial_reads/esc_ha6428aa_as_2.fastq,6,723,nd,united states,North America,clinical,centers for disease control and prevention enteric diseases laboratory branch
esc_ba5409aa_as,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/enterobase/human/complete/esc_ba5409aa_as.fasta,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/enterobase/human/annotation/esc_ba5409aa_as.fasta.gff,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/reads/artificial_reads/esc_ba5409aa_as_2.fastq;/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/reads/artificial_reads/esc_ba5409aa_as_1.fastq,7,69,nd,denmark,Europe,blood,broad institute
11657_6#44,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/bsac/11657_6#44.contigs_velvet.fa,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/bsac/11657_6#44.gff,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/bsac/reads/11657_6#44_1.fastq.gz;/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/bsac/reads/11657_6#44_2.fastq.gz,7,106,expec,united kingdom,Europe,blood,kallonen2017_bsac
esc_ga9240aa_as,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/downloaded/ecoli_mobilome_5_6/assembly/SRR3578771_trimmed.contigs_velvet.fa,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/downloaded/ecoli_mobilome_5_6/annot/SRR3578771_trimmed.velvet.gff,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/downloaded/ecoli_mobilome_5_6/reads/SRR3578771_trimmed_1.fastq.gz;/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/downloaded/ecoli_mobilome_5_6/reads/SRR3578771_trimmed_2.fastq.gz,7,2020,nd,united kingdom,Europe,human,public health england
esc_ba8910aa_as,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/enterobase/human/complete/esc_ba8910aa_as.fasta,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/enterobase/human/annotation/esc_ba8910aa_as.fasta.gff,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/reads/artificial_reads/esc_ba8910aa_as_1.fastq;/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/reads/artificial_reads/esc_ba8910aa_as_2.fastq,7,5355,nd,denmark,Europe,blood,broad institute
11658_5#49,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/bsac/11658_5#49.contigs_velvet.fa,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/bsac/11658_5#49.gff,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/bsac/reads/11658_5#49_2.fastq.gz;/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/bsac/reads/11658_5#49_1.fastq.gz,7,5520,expec,united kingdom,Europe,blood,kallonen2017_bsac
11679_6#70,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/bsac/11679_6#70.contigs_velvet.fa,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/bsac/11679_6#70.gff,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/bsac/reads/11679_6#70_1.fastq.gz;/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/bsac/reads/11679_6#70_2.fastq.gz,7,5639,expec,united kingdom,Europe,blood,kallonen2017_bsac
nc_011751,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/hazen2013/complete/NC_011751.fa,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/hazen2013/annotation/NC_011751.fa.gff,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/reads/artificial_reads/NC_011751_2.fastq;/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/reads/artificial_reads/NC_011751_1.fastq,7,597,expec,united states,North America,feces,ingle2016_gems/hazen2013
esc_ia6950aa_as,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/enterobase/human/complete/esc_ia6950aa_as.fasta,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/enterobase/human/annotation/esc_ia6950aa_as.fasta.gff,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/reads/artificial_reads/esc_ia6950aa_as_2.fastq;/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/reads/artificial_reads/esc_ia6950aa_as_1.fastq,7,106,nd,united states,North America,blood,fda center for food safety and applied nutrition
esc_ca4207aa_as,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/enterobase/human/complete/esc_ca4207aa_as.fasta,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/enterobase/human/annotation/esc_ca4207aa_as.fasta.gff,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/reads/artificial_reads/esc_ca4207aa_as_1.fastq;/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/reads/artificial_reads/esc_ca4207aa_as_2.fastq,7,69,nd,denmark,Europe,human,broad institute
11679_6#79,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/bsac/11679_6#79.contigs_velvet.fa,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/bsac/11679_6#79.gff,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/bsac/reads/11679_6#79_1.fastq.gz;/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/bsac/reads/11679_6#79_2.fastq.gz,7,69,expec,united kingdom,Europe,blood,kallonen2017_bsac
esc_ra3568aa_as,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/enterobase/human/complete/esc_ra3568aa_as.fasta,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/enterobase/human/annotation/esc_ra3568aa_as.fasta.gff,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/reads/artificial_reads/esc_ra3568aa_as_1.fastq;/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/reads/artificial_reads/esc_ra3568aa_as_2.fastq,8,442,nd,united states,North America,human,centers for disease control and prevention enteric diseases laboratory branch
esc_sa5779aa_as,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/downloaded/ecoli_mobilome_7_long/assembly/SRR7285573_trimmed.contigs_velvet.fa,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/downloaded/ecoli_mobilome_7_long/annot/SRR7285573_trimmed.velvet.gff,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/downloaded/ecoli_mobilome_7_long/reads/SRR7285573_trimmed_1.fastq.gz;/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/downloaded/ecoli_mobilome_7_long/reads/SRR7285573_trimmed_2.fastq.gz,8,442~,nd,united kingdom,Europe,human,public health england
esc_qa2306aa_as,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/enterobase/human/complete/esc_qa2306aa_as.fasta,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/enterobase/human/annotation/esc_qa2306aa_as.fasta.gff,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/reads/artificial_reads/esc_qa2306aa_as_1.fastq;/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/reads/artificial_reads/esc_qa2306aa_as_2.fastq,8,7714,nd,united states,North America,feces,fda center for food safety and applied nutrition
esc_sa4436aa_as,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/downloaded/ecoli_mobilome_5_6/assembly/SRR7256946_trimmed.contigs_velvet.fa,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/downloaded/ecoli_mobilome_5_6/annot/SRR7256946_trimmed.velvet.gff,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/downloaded/ecoli_mobilome_5_6/reads/SRR7256946_trimmed_2.fastq.gz;/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/downloaded/ecoli_mobilome_5_6/reads/SRR7256946_trimmed_1.fastq.gz,8,8270,nd,united kingdom,Europe,human,public health england
esc_ca6367aa_as,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/enterobase/human/complete/esc_ca6367aa_as.fasta,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/enterobase/human/annotation/esc_ca6367aa_as.fasta.gff,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/reads/artificial_reads/esc_ca6367aa_as_1.fastq;/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/reads/artificial_reads/esc_ca6367aa_as_2.fastq,8,829,nd,united states,North America,human,edlb-cdc
esc_ba9653aa_as,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/enterobase/human/complete/esc_ba9653aa_as.fasta,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/enterobase/human/annotation/esc_ba9653aa_as.fasta.gff,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/reads/artificial_reads/esc_ba9653aa_as_2.fastq;/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/reads/artificial_reads/esc_ba9653aa_as_1.fastq,8,5496,nd,united states,North America,human,edlb-cdc
esc_ja4743aa_as,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/downloaded/ecoli_mobilome_3_4/assembly/SRR4788126_trimmed.contigs_velvet.fa,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/downloaded/ecoli_mobilome_3_4/annot/SRR4788126_trimmed.velvet.gff,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/downloaded/ecoli_mobilome_3_4/reads/SRR4788126_trimmed_2.fastq.gz;/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/downloaded/ecoli_mobilome_3_4/reads/SRR4788126_trimmed_1.fastq.gz,8,7026,nd,united kingdom,Europe,human,public health england
esc_ha7933aa_as,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/enterobase/human/complete/esc_ha7933aa_as.fasta,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/enterobase/human/annotation/esc_ha7933aa_as.fasta.gff,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/reads/artificial_reads/esc_ha7933aa_as_1.fastq;/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/reads/artificial_reads/esc_ha7933aa_as_2.fastq,8,829,nd,united states,North America,ammotragus lervia- aoudad-rectum,fda center for food safety and applied nutrition
esc_ra1884aa_as,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/enterobase/human/complete/esc_ra1884aa_as.fasta,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/enterobase/human/annotation/esc_ra1884aa_as.fasta.gff,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/reads/artificial_reads/esc_ra1884aa_as_1.fastq;/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/reads/artificial_reads/esc_ra1884aa_as_2.fastq,8,7714,nd,united states,North America,feces,fda center for food safety and applied nutrition
esc_sa5890aa_as,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/downloaded/ecoli_mobilome_3_4/assembly/SRR7286559_trimmed.contigs_velvet.fa,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/downloaded/ecoli_mobilome_3_4/annot/SRR7286559_trimmed.velvet.gff,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/downloaded/ecoli_mobilome_3_4/reads/SRR7286559_trimmed_1.fastq.gz;/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/downloaded/ecoli_mobilome_3_4/reads/SRR7286559_trimmed_2.fastq.gz,8,442~,nd,united kingdom,Europe,human,public health england
esc_sa6154aa_as,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/downloaded/ecoli_mobilome_7_long/assembly/SRR7291553_trimmed.contigs_velvet.fa,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/downloaded/ecoli_mobilome_7_long/annot/SRR7291553_trimmed.velvet.gff,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/downloaded/ecoli_mobilome_7_long/reads/SRR7291553_trimmed_1.fastq.gz;/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/downloaded/ecoli_mobilome_7_long/reads/SRR7291553_trimmed_2.fastq.gz,8,442~,nd,united kingdom,Europe,human,public health england
esc_sa2810aa_as,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/downloaded/ecoli_mobilome_5_6/assembly/SRR7209039_trimmed.contigs_velvet.fa,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/downloaded/ecoli_mobilome_5_6/annot/SRR7209039_trimmed.velvet.gff,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/downloaded/ecoli_mobilome_5_6/reads/SRR7209039_trimmed_1.fastq.gz;/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/downloaded/ecoli_mobilome_5_6/reads/SRR7209039_trimmed_2.fastq.gz,8,442,nd,united kingdom,Europe,human,public health england
esc_sa4154aa_as,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/downloaded/ecoli_mobilome_1_2/assembly/SRR7249690_trimmed.contigs_velvet.fa,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/downloaded/ecoli_mobilome_1_2/annot/SRR7249690_trimmed.velvet.gff,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/downloaded/ecoli_mobilome_1_2/reads/SRR7249690_trimmed_1.fastq.gz;/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/downloaded/ecoli_mobilome_1_2/reads/SRR7249690_trimmed_2.fastq.gz,8,442,nd,united kingdom,Europe,human,public health england
esc_sa2484aa_as,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/downloaded/ecoli_mobilome_1_2/assembly/SRR7191461_trimmed.contigs_velvet.fa,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/downloaded/ecoli_mobilome_1_2/annot/SRR7191461_trimmed.velvet.gff,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/downloaded/ecoli_mobilome_1_2/reads/SRR7191461_trimmed_2.fastq.gz;/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/downloaded/ecoli_mobilome_1_2/reads/SRR7191461_trimmed_1.fastq.gz,8,442~,nd,united kingdom,Europe,human,public health england
esc_qa2174aa_as,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/enterobase/human/complete/esc_qa2174aa_as.fasta,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/enterobase/human/annotation/esc_qa2174aa_as.fasta.gff,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/reads/artificial_reads/esc_qa2174aa_as_2.fastq;/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/reads/artificial_reads/esc_qa2174aa_as_1.fastq,8,7714,nd,united states,North America,feces,fda center for food safety and applied nutrition
esc_sa6942aa_as,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/downloaded/ecoli_mobilome_3_4/assembly/SRR7401660_trimmed.contigs_velvet.fa,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/downloaded/ecoli_mobilome_3_4/annot/SRR7401660_trimmed.velvet.gff,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/downloaded/ecoli_mobilome_3_4/reads/SRR7401660_trimmed_1.fastq.gz;/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/downloaded/ecoli_mobilome_3_4/reads/SRR7401660_trimmed_2.fastq.gz,8,442~,nd,united kingdom,Europe,human,public health england
esc_sa5898aa_as,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/downloaded/ecoli_mobilome_1_2/assembly/SRR7286580_trimmed.contigs_velvet.fa,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/downloaded/ecoli_mobilome_1_2/annot/SRR7286580_trimmed.velvet.gff,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/downloaded/ecoli_mobilome_1_2/reads/SRR7286580_trimmed_1.fastq.gz;/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/downloaded/ecoli_mobilome_1_2/reads/SRR7286580_trimmed_2.fastq.gz,8,8270,nd,united kingdom,Europe,human,public health england
esc_ga8874aa_as,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/downloaded/ecoli_mobilome_7_long/assembly/SRR3574312_trimmed.contigs_velvet.fa,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/downloaded/ecoli_mobilome_7_long/annot/SRR3574312_trimmed.velvet.gff,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/downloaded/ecoli_mobilome_7_long/reads/SRR3574312_trimmed_2.fastq.gz;/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/downloaded/ecoli_mobilome_7_long/reads/SRR3574312_trimmed_1.fastq.gz,9,33,nd,united kingdom,Europe,human,public health england
srs1804907,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/downloaded/ecoli_mobilome_5_6/assembly/SRR5029821_trimmed.contigs_velvet.fa,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/downloaded/ecoli_mobilome_5_6/annot/SRR5029821_trimmed.velvet.gff,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/downloaded/ecoli_mobilome_5_6/reads/SRR5029821_trimmed_2.fastq.gz;/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/downloaded/ecoli_mobilome_5_6/reads/SRR5029821_trimmed_1.fastq.gz,9,33~,nd,united kingdom,Europe,nd,phe
esc_ba0766aa_as,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/enterobase/human/complete/esc_ba0766aa_as.fasta,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/enterobase/human/annotation/esc_ba0766aa_as.fasta.gff,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/reads/artificial_reads/esc_ba0766aa_as_2.fastq;/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/reads/artificial_reads/esc_ba0766aa_as_1.fastq,9,5365,nd,united kingdom,Europe,human,gastrointestinal bacteria reference unit- public health england
esc_ba5851aa_as,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/enterobase/human/complete/esc_ba5851aa_as.fasta,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/enterobase/human/annotation/esc_ba5851aa_as.fasta.gff,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/reads/artificial_reads/esc_ba5851aa_as_1.fastq;/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/reads/artificial_reads/esc_ba5851aa_as_2.fastq,9,5413,nd,united states,North America,human,edlb-cdc
esc_ga8917aa_as,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/enterobase/human/complete/esc_ga8917aa_as.fasta,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/enterobase/human/annotation/esc_ga8917aa_as.fasta.gff,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/downloaded/ecoli_mobilome_5_6/reads/SRR3581340_trimmed_1.fastq.gz;/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/downloaded/ecoli_mobilome_5_6/reads/SRR3581340_trimmed_2.fastq.gz,9,6267,nd,united kingdom,Europe,human,public health england
esc_sa2243aa_as,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/downloaded/ecoli_mobilome_1_2/assembly/SRR7186930_trimmed.contigs_velvet.fa,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/downloaded/ecoli_mobilome_1_2/annot/SRR7186930_trimmed.velvet.gff,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/downloaded/ecoli_mobilome_1_2/reads/SRR7186930_trimmed_1.fastq.gz;/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/downloaded/ecoli_mobilome_1_2/reads/SRR7186930_trimmed_2.fastq.gz,9,8269,nd,united kingdom,Europe,human,public health england
srs3333209,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/downloaded/ecoli_mobilome_5_6/assembly/SRR7209037_trimmed.contigs_velvet.fa,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/downloaded/ecoli_mobilome_5_6/annot/SRR7209037_trimmed.velvet.gff,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/downloaded/ecoli_mobilome_5_6/reads/SRR7209037_trimmed_1.fastq.gz;/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/downloaded/ecoli_mobilome_5_6/reads/SRR7209037_trimmed_2.fastq.gz,9,33~,nd,united kingdom,Europe,nd,phe
esc_sa6101aa_as,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/downloaded/ecoli_mobilome_5_6/assembly/SRR7290975_trimmed.contigs_velvet.fa,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/downloaded/ecoli_mobilome_5_6/annot/SRR7290975_trimmed.velvet.gff,/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/downloaded/ecoli_mobilome_5_6/reads/SRR7290975_trimmed_2.fastq.gz;/lustre/scratch118/infgen/team216/gh11/e_coli_collections/genomes/downloaded/ecoli_mobilome_5_6/reads/SRR7290975_trimmed_1.fastq.gz,9,33,nd,united kingdom,Europe,human,public health england
